inputs.query,inputs.truth,index
Which tent is the most waterproof?,The Alpine Explorer Tent has the highest rainfly waterproof rating at 3000m,1
Which camping table holds the most weight?,The Adventure Dining Table has a higher weight capacity than all of the other camping tables mentioned,2
How much do the TrailWalker Hiking Shoes cost? ,The Trailewalker Hiking Shoes are priced at $110,3
What is the proper care for trailwalker hiking shoes? ,"After each use, remove any dirt or debris by brushing or wiping the shoes with a damp cloth.",4
What brand is TrailMaster tent? ,OutdoorLiving,5
How do I carry the TrailMaster tent around? , Carry bag included for convenient storage and transportation,6
What is the floor area for Floor Area? ,80 square feet,7
What is the material for TrailBlaze Hiking Pants?,Made of high-quality nylon fabric,8
What color does TrailBlaze Hiking Pants come in?,Khaki,9
Can the warrenty for TrailBlaze pants be transfered? ,The warranty is non-transferable and applies only to the original purchaser of the TrailBlaze Hiking Pants. It is valid only when the product is purchased from an authorized retailer.,10
How long are the TrailBlaze pants under warranty for? , The TrailBlaze Hiking Pants are backed by a 1-year limited warranty from the date of purchase.,11
What is the material for PowerBurner Camping Stove? ,Stainless Steel,12
Is France in Europe?,"Sorry, I can only queries related to outdoor/camping gear and equipment",13
